,TransactionId,UserId,VisitYear,VisitMonth,VisitMode,Rating,user_continent_id,user_region_id,user_country_id,user_city_id,AttractionId,AttractionCityId,AttractionTypeId,attraction_countryid,attraction_regionid,attraction_continentid
0,3,70456,2022,10,2,5,5,21,163,4341.0,640,1,63,1,1,1
1,8,7567,2022,10,4,5,2,8,48,464.0,640,1,63,1,1,1
2,9,79069,2022,10,3,5,2,9,54,774.0,640,1,63,1,1,1
3,10,31019,2022,10,3,3,5,17,135,583.0,640,1,63,1,1,1
4,15,43611,2022,10,2,3,5,21,163,1396.0,640,1,63,1,1,1
5,18,43471,2022,10,4,5,2,8,51,1806.0,640,1,63,1,1,1
6,22,76492,2022,9,2,4,1,2,9,31.0,640,1,63,1,1,1
7,23,20977,2022,10,4,5,5,21,163,8258.0,640,1,63,1,1,1
8,28,18655,2022,9,2,3,1,4,22,114.0,640,1,63,1,1,1
9,29,62907,2022,9,2,5,2,8,51,50.0,640,1,63,1,1,1
10,31,86054,2022,9,2,5,5,21,163,8809.0,640,1,63,1,1,1
11,33,41979,2022,9,2,5,4,15,109,5365.0,640,1,63,1,1,1
12,39,38726,2022,9,4,3,4,16,115,5506.0,640,1,63,1,1,1
13,43,67147,2022,8,2,4,5,21,163,818.0,640,1,63,1,1,1
14,44,2307,2022,9,2,4,4,15,109,4303.0,640,1,63,1,1,1
15,45,3660,2022,9,2,5,4,15,109,4398.0,640,1,63,1,1,1
16,46,50130,2022,9,4,3,5,21,163,8513.0,640,1,63,1,1,1
17,54,30450,2022,8,2,4,5,21,163,5264.0,640,1,63,1,1,1
18,56,82637,2022,7,3,4,4,15,109,3687.0,640,1,63,1,1,1
19,61,33716,2022,7,5,5,3,12,89,2617.0,640,1,63,1,1,1
20,64,46517,2022,8,3,1,5,21,163,8366.0,640,1,63,1,1,1
21,66,50127,2022,8,2,5,3,12,88,2607.0,640,1,63,1,1,1
22,67,61876,2022,8,2,5,1,4,22,191.0,640,1,63,1,1,1
23,68,16769,2022,6,2,5,5,18,138,693.0,640,1,63,1,1,1
24,69,9804,2022,7,2,4,4,15,109,535.0,640,1,63,1,1,1
25,72,44419,2022,7,2,5,5,21,163,9057.0,640,1,63,1,1,1
26,73,84531,2022,7,2,5,4,15,109,1434.0,640,1,63,1,1,1
27,75,83915,2022,7,2,5,3,14,101,3226.0,640,1,63,1,1,1
28,76,62742,2022,7,2,4,4,15,109,3915.0,640,1,63,1,1,1
29,77,47615,2022,7,2,5,3,13,93,2690.0,640,1,63,1,1,1
30,78,85459,2022,7,3,5,4,15,109,4883.0,640,1,63,1,1,1
31,80,71946,2022,7,4,3,5,17,135,6213.0,640,1,63,1,1,1
32,82,54719,2022,7,4,5,2,8,51,929.0,640,1,63,1,1,1
33,87,16291,2022,7,3,4,4,15,109,4272.0,640,1,63,1,1,1
34,93,18137,2022,6,2,1,4,15,109,1434.0,640,1,63,1,1,1
35,95,37338,2022,6,3,5,4,15,109,3915.0,640,1,63,1,1,1
36,97,18628,2022,6,3,4,3,13,93,2690.0,640,1,63,1,1,1
37,103,47542,2022,6,5,3,1,3,14,52.0,640,1,63,1,1,1
38,105,71155,2022,6,4,5,3,12,89,2623.0,640,1,63,1,1,1
39,106,73515,2022,6,2,5,5,20,152,6955.0,640,1,63,1,1,1
